"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"9/22/2019, 1:00:00 PM","RealisedPNL","1345863","0","ETC7D","Completed","586086806"
"6/27/2019, 1:00:00 PM","RealisedPNL","20806399","0","ADAH18","Completed","584740943"
"6/26/2019, 1:00:00 PM","RealisedPNL","5320937","0","ETC7D","Completed","563934544"
"6/26/2019, 1:00:00 PM","RealisedPNL","50589507","0","ADAH18","Completed","558613607"
"6/25/2019, 1:00:00 PM","RealisedPNL","10616101","0","ETC7D","Completed","508024100"
"6/24/2019, 1:00:00 PM","RealisedPNL","2564","0","XRPH18","Completed","497407999"
"6/24/2019, 1:00:00 PM","RealisedPNL","31023352","0","ETC7D","Completed","497405435"
"6/23/2019, 1:00:00 PM","RealisedPNL","16398235","0","NEOG18","Completed","466382083"
"6/23/2019, 1:00:00 PM","RealisedPNL","181022214","0","ETC7D","Completed","449983848"
"6/23/2019, 1:00:00 PM","RealisedPNL","4886005","0","XRPH18","Completed","268961634"
"6/23/2019, 1:00:00 PM","RealisedPNL","19823","0","ADAH18","Completed","264075629"
"6/22/2019, 1:00:00 PM","RealisedPNL","5052","0","XRPH18","Completed","264055806"
"6/22/2019, 1:00:00 PM","RealisedPNL","10378109","0","NEOG18","Completed","264050754"
"6/22/2019, 1:00:00 PM","RealisedPNL","202089","0","ETC7D","Completed","253672645"
"6/21/2019, 1:00:00 PM","RealisedPNL","16761","0","XRPH18","Completed","253470556"
"6/21/2019, 1:00:00 PM","RealisedPNL","2561","0","NEOG18","Completed","253453795"
"6/21/2019, 1:00:00 PM","RealisedPNL","2204","0","ETC7D","Completed","253451234"
"6/20/2019, 1:00:00 PM","RealisedPNL","91","0","XRPH18","Completed","253449030"
"6/20/2019, 1:00:00 PM","RealisedPNL","1249028","0","NEOG18","Completed","253448939"
"6/20/2019, 1:00:00 PM","RealisedPNL","14884583","0","ETC7D","Completed","252199911"
"6/20/2019, 1:00:00 PM","RealisedPNL","3826207","0","ADAH18","Completed","237315328"
"6/19/2019, 1:00:00 PM","RealisedPNL","16900406","0","XBTUSD","Completed","233489121"
"6/19/2019, 1:00:00 PM","RealisedPNL","604","0","NEOG18","Completed","216588715"
"6/15/2019, 1:00:00 PM","RealisedPNL","219590","0","ETC7D","Completed","216588111"
"2/19/2018, 1:00:00 PM","RealisedPNL","118521","0","ADAH18","Completed","216368521"
"2/18/2018, 3:20:09 PM","Deposit","206250000","null","","Completed","216250000"
"2/18/2018, 3:09:58 PM","Deposit","10000000","null","0","Completed","10000000"
